"Term,field_acronym_expansion,field_definition,field_extended_definition,field_related_term_s_,field_synonym_s_,field_from,""Acronym Expansion"",Definition,""Extended Definition"",""Related Term(s)"",Synonym(s),From";;;
"access,,,,,,,,""The ability and means to communicate with or otherwise interact with a system, to use system resources to handle information, to gain knowledge of the information the system contains, or to control system components and functions."",,,,""CNSSI 4009""";;;
"access and identity management,,,,,,,,,,,""identity and access management"",";;;
"access control,,,,,,,,""The process of granting or denying specific requests for or attempts to: 1) obtain and use information and related information processing services";" and 2) enter specific physical facilities."",,""access control mechanism"",,""CNSSI 4009""";;
"access control mechanism,,,,,,,,""Security measures designed to detect and deny unauthorized access and permit authorized access to an information system or a physical facility."",,,,""CNSSI 4009""";;;
"active attack,,,,,,,,""An actual assault perpetrated by an intentional threat source that attempts to alter a system, its resources, its data, or its operations."",,""passive attack"",,""IETF RFC 4949, NIST SP 800-63 Rev 1""";;;
"active content,,,,,,,,""Software that is able to automatically carry out or trigger actions without the explicit intervention of a user."",,,,""CNSSI 4009""";;;
"advanced persistent threat,,,,,,,,""An adversary that possesses sophisticated levels of expertise and significant resources which allow it to create opportunities to achieve its objectives by using multiple attack vectors (e.g., cyber, physical, and deception)."",,,,""NIST SP 800-53 Rev 4""";;;
"adversary,,,,,,,,""An individual, group, organization, or government that conducts or has the intent to conduct detrimental activities."",,""threat agent, attacker"",,""DHS Risk Lexicon""";;;
"AIaaS,,,,,,,""Artificial Intelligence as a Service"",""a cloud-based service offering artificial intelligence (AI) outsourcing"",,,,";;;
"air gap,,,,,,,,""To physically separate or isolate a system from other systems or networks (verb)."",""The physical separation or isolation of a system from other systems or networks (noun)."",,,";;;
"alert,,,,,,,,""A notification that a specific attack has been detected or directed at an organization’s information systems."",,,,""CNSSI 4009""";;;
"all source intelligence,,,,,,,,""In the NICE Framework, cybersecurity work where a person: Analyzes threat information from multiple sources, disciplines, and agencies across the Intelligence Community. Synthesizes and places intelligence information in context";" draws insights about the possible implications."",,,,""NICE Framework""";;
"allowlist,,,,,,,,""A list of entities that are considered trustworthy and are granted access or privileges."",,Blocklist,,""DHS personnel""";;;
"AMCIS,,,,,,,""Americas Conference on Information Systems"",,,,,";;;
"analyze,,,,,,,,""A NICE Framework category consisting of specialty areas responsible for highly specialized review and evaluation of incoming cybersecurity information to determine its usefulness for intelligence."",,,,""NICE Framework""";;;
"anonymizers,,,,,,,,""an anonymous proxy is a tool that attempts to make activity on the Internet untraceable"",,,,";;;
"anti-CSRF,,,,,,,""Anti - Cross-Site Request Forgery"",""related pairs of tokens given to users to validate their requests and prevent issue requests from attackers via the victim"",,,,";;;
"antiforensic,,,,,,,,""a set of techniques used to conceal or destroy evidence to frustrate or deceive digital forensic investigations"",,""forensic, digital forensic, computer forensic, Timestomping"",,";;;
"Antispoofing,,,,,,,,""a technique for identifying and dropping packets that have a false source address."",""In a spoofing attack, the source address of an incoming packet is changed to make it appear as if it is coming from a known, trusted source. Spoofed packets are commonly used to carry out denial-of-service (DoS) attacks, exploit network and system vulnerabilities, and gain unauthorized access to corporate networks and data."",,,";;;
"antispyware software,,,,,,,,""A program that specializes in detecting and blocking or removing forms of spyware."",,spyware,,""NCSD Glossary""";;;
"antivirus software,,,,,,,,""A program that monitors a computer or network to detect or identify major types of malicious code and to prevent or contain malware incidents. Sometimes by removing or neutralizing the malicious code."",,,,""NCSD Glossary""";;;
"AP,,,,,,,""Advanced Placement"",,,,,";;;
"AppSec,,,,,,,,""the process of finding, fixing, and preventing security vulnerabilities at the application level, as part of the software development processes"",,,,";;;
"asset,,,,,,,,""A person, structure, facility, information, and records, information technology systems and resources, material, process, relationships, or reputation that has value."",""Anything useful that contributes to the success of something, such as an organizational mission";" assets are things of value or properties to which value can be assigned."",,,""DHS Risk Lexicon""";;
"asymmetric cryptography,,,,,,,,,,,""public key cryptography"",";;;
"ATE,,,,,,,""Advanced Technological Education"",,,,,";;;
"attack,,,,,,,,""An attempt to gain unauthorized access to system services, resources, or information, or an attempt to compromise system integrity."",""The intentional act of attempting to bypass one or more security services or controls of an information system."",""active attack, passive attack"",,""NCSD Glossary. NTSSI 4009 (2000), CNSSI 4009""";;;
"attack method,,,,,,,,""The manner or technique and means an adversary may use in an assault on information or an information system."",,,,""DHS Risk Lexicon, NCSD Glossary""";;;
"attack mode,,,,,,,,,,,""attack method"",";;;
"attack path,,,,,,,,""The steps that an adversary takes or may take to plan, prepare for, and execute an attack."",,,,""DHS Risk Lexicon, NCSD Glossary""";;;
"attack pattern,,,,,,,,""Similar cyber events or behaviors that may indicate an attack has occurred or is occurring, resulting in a security violation or a potential security violation."",""For software, descriptions of common methods for exploiting software systems."",""attack signature"",,""Oak Ridge National Laboratory Visualization Techniques for Computer Network Defense, MITRE's CAPEC web site""";;;
"attack signature,,,,,,,,""A characteristic or distinctive pattern that can be searched for or that can be used in matching to previously identified attacks."",""An automated set of rules for identifying a potential threat (such as an exploit or the presence of an attacker tool) and possible responses to that threat."",""attack pattern"",,""NCSD Glossary, CNSSI 4009, ISSG V1.2 Database""";;;
"attack surface,,,,,,,,""The set of ways in which an adversary can enter a system and potentially cause damage."",""An information system's characteristics that permit an adversary to probe, attack, or maintain presence in the information system."",,,""Manadhata, P.K., & Wing, J.M. in Attack Surface Measurement";" DHS personnel""";;
"attacker,,,,,,,,""An individual, group, organization, or government that executes an attack."",""A party acting with malicious intent to compromise an information system."",""adversary, threat agent"",,""Barnum & Sethi (2006), NIST SP 800-63 Rev 1""";;;
authenticate,,,,,,,,,,authentication,,;;;
"authentication,,,,,,,,""The process of verifying the identity or other attributes of an entity (user, process, or device)."",""Also the process of verifying the source and integrity of data."",,,""CNSSI 4009, NIST SP 800-21, NISTIR 7298""";;;
"authenticity,,,,,,,,""A property achieved through cryptographic methods of being genuine and being able to be verified and trusted, resulting in confidence in the validity of a transmission, information or a message, or sender of information or a message."",,""integrity, non-repudiation"",,""CNSSI 4009, NIST SP 800-53 Rev 4""";;;
"authorization,,,,,,,,""A process of determining, by evaluating applicable access control information, whether a subject is allowed to have the specified types of access to a particular resource."",""The process or act of granting access privileges or the access privileges as granted."",,,""OASIS SAML Glossary 2.0";" Adapted from CNSSI 4009""";;
"availability,,,,,,,,""The property of being accessible and usable upon demand."",""In cybersecurity, applies to assets such as information or information systems."",""confidentiality, integrity"",,""CNSSI 4009, NIST SP 800-53 Rev 4, 44 U.S.C., Sec 3542""";;;
"BaaS,,,,,,,""Backup as a service"",,,,,";;;
"Backdoor,,,,,,,,""A backdoor refers to any method by which authorized and unauthorized users are able to get around normal security measures and gain high level user access (aka root access) on a computer system, network, or software application"",,,,";;;
